id,collection,type,city,street,severity,reportBy,confidence,eventId
1,alertas,HAZARD,Santiago,"Santo Domingo",0,"",0,alert_alert-1852588833/260e67cb-f346-4b5c-a9c3-f448edd40923
2,alertas,POLICE,Santiago,"Av. 10 de Julio Huamachuco",0,"",0,alert_alert-1852633919/a7930192-406c-4cfb-96cb-80ae1633c594
3,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1711670070/e3972131-97ab-4c38-a22a-c67dbfb872ab
4,alertas,POLICE,Santiago,"Exposición",0,"",0,alert_alert-1852614043/4e0486f4-263b-4c56-a31a-2ee580ae073d
5,alertas,JAM,Santiago,"Av. Vicuña Mackenna",0,"",0,alert_alert-1852588247/d70d892e-d77f-473a-a75e-8ef7ba00ef44
6,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1711093592/bba9542e-799b-4c6d-86d9-d9e1d2f0c8b7
7,alertas,JAM,Santiago,"Av. Vicuña Mackenna",0,"",0,alert_alert-1852686444/8cf24561-96dc-4daa-80dd-6212207e399c
8,alertas,HAZARD,Santiago,"Av. Ricardo Cumming",0,"",0,alert_alert-1852077989/dcc617b3-3873-4cce-892e-e68c9b13a402
9,alertas,HAZARD,"Estación Central",Arica,0,"",0,alert_alert-1852415905/767eb10f-5a88-4716-930f-61775b8ae529
10,alertas,JAM,"","Autopista Central",0,"",0,alert_alert-1852504892/25ac060d-97f0-40b8-af13-be41d46decc3
11,alertas,JAM,Santiago,"Abate Molina",0,"",0,alert_alert-1852573186/912f1990-5ccf-4f2d-a962-2130b689cbf7
12,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1711658834/c3fb744e-a92a-4b28-b37e-bd761e345667
13,alertas,POLICE,Recoleta,Artesanos,0,"",0,alert_alert-1852405504/fba3859d-d587-4178-8b31-ae9e68d392d9
14,alertas,HAZARD,Santiago,"Sazié",0,"",0,alert_alert-1852578713/f56fed91-82d1-4d12-8002-3b37f890fe6c
15,alertas,HAZARD,Santiago,"Padre Orellana",0,"",0,alert_alert-1852515549/62fcde04-a2e3-4aae-ad48-a624b1114fa4
16,alertas,JAM,"","Autopista Central",0,"",0,alert_alert-1852480321/36ebb583-2de6-48ec-96cf-ef379426cb28
17,alertas,JAM,"","Autopista Central",0,"",0,alert_alert-1852651664/f0a032f3-2f97-4b33-a376-828e50d9378b
18,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1711273067/6167c372-ba69-4756-aa0c-48f02abed3df
19,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1710911230/d5e1f833-6fc2-479d-9ecb-e7ea457b37c1
20,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1712197455/6314d7a6-3d22-4038-a9d4-9d8c8cd041cf
21,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1712104703/7a712d8d-e030-4abf-9003-11aafda4ced0
22,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1711262185/088fe16d-779a-4b80-9700-05deb8c8e4cd
23,alertas,JAM,Santiago,"Av. Manuel Rodríguez",0,"",0,alert_alert-1852593172/20d9794f-de08-4f0a-875a-01926a650126
24,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1711337841/69807e89-c7cf-46ea-b3a1-049e66796d6a
25,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1711859770/28944205-27df-4254-8a1f-22c0bc45762c
26,alertas,POLICE,"Lo Prado","Av. San Pablo",0,"",0,alert_alert-1852448284/db690361-2c71-4c99-8dcf-78a4f270fc37
27,alertas,HAZARD,"","Acceso a Autopista Central",0,"",0,alert_alert-1852456728/5e8cf3ff-0d4b-473b-82a9-e8ef895c6c14
28,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1711259723/597a722b-4a0d-493e-b6b2-31210b7dd7bf
29,alertas,POLICE,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1852671907/9bf6672d-3301-417d-8b76-7c8ca90312b6
30,alertas,HAZARD,"","Salida 18A",0,"",0,alert_alert-1852573838/2f100a9f-a9aa-4a28-9d72-d97ea947f605
31,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1712003889/35d94212-09eb-4850-bb9a-f832e8069f63
32,alertas,JAM,"","Autopista Central",0,"",0,alert_alert-1852608205/59126886-0acc-49f3-8ebe-ba17cbe6b1b0
33,alertas,JAM,Providencia,"Av. Francisco Bilbao",0,"",0,alert_alert-1852587334/9f846696-50a4-4d1d-b7e9-7eb57d18f4c5
34,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1711116244/7e11e0de-2492-48c5-97af-45005dd79627
35,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1712039603/9b93e52d-0b47-4040-90bb-f55569509e3b
36,alertas,JAM,Santiago,"Abate Molina",0,"",0,alert_alert-1852653584/d89e1c4e-d8ea-46c4-bb39-e385d40c027f
37,alertas,ACCIDENT,"Estación Central","San Alberto Hurtado",0,"",0,alert_alert-1852584590/e111ac45-abdd-409f-9d03-288f299dfce7
38,alertas,HAZARD,Santiago,Vergara,0,"",0,alert_alert-1852450502/4eee35f0-12c9-409d-9743-70c85ac69cdb
39,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1711989771/7a4474ee-6493-42f6-80fe-00e94b92f28c
40,alertas,CHIT_CHAT,Santiago,"San Francisco",0,"",0,alert_alert-1852649184/5055a96a-5b93-4dfd-9af1-f4bebaa1b06e
41,alertas,HAZARD,Santiago,"Sazié",0,"",0,alert_alert-1852593871/d83676cc-8ed3-43f4-9c5b-56e7848e7a27
42,alertas,JAM,Santiago,"Salida 0-S > Toesca / Rondizzoni",0,"",0,alert_alert-1852588672/07785d4e-9243-475f-a8ea-caf16b430a02
43,alertas,POLICE,Santiago,"Santo Domingo",0,"",0,alert_alert-1852701746/7122688d-a7b6-4a04-a466-64758378f040
44,alertas,HAZARD,Santiago,"Av. Brasil",0,"",0,alert_alert-1852653855/4312db3a-f07a-418e-849e-0a937a9c23bd
45,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1711744093/358ac2d7-8275-43cc-be1d-30147d63005c
46,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1712121704/b6aa00ef-1bff-4e32-95eb-1482722fc22b
47,alertas,POLICE,Santiago,Catedral,0,"",0,alert_alert-1852599190/a9d75ab9-8534-4896-979e-6397ae7b7cfa
48,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1711665540/56203d88-6684-496d-a8af-34fc72be355d
49,alertas,JAM,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1852697875/7774cb5d-eab6-40f5-b85c-acea7d42b739
50,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1712055048/56dc3163-fcc5-4818-b1bc-9f856c91ab9b
51,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1711754371/d4559feb-625a-4402-9c47-dc66d187fed4
52,alertas,POLICE,"Quinta Normal","Roman Spech",0,"",0,alert_alert-1852525690/7b158a48-6ab4-4cd0-8bfa-29ca14e51987
53,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1851450203/77fce7b8-8558-4a1e-998b-dbdc6c51b127
54,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1711221400/57de3f74-2e77-4dad-9bcc-bc85d96e8273
55,alertas,JAM,Santiago,"Abate Molina",0,"",0,alert_alert-1852628863/b5f708d7-214a-48cc-a6e3-c83b501fad01
56,alertas,HAZARD,Santiago,"Sazié",0,"",0,alert_alert-1852683249/dfdc5b62-16f5-4a93-9f20-e2a0c5d9f790
57,alertas,ROAD_CLOSED,Providencia,"Retorno a Providencia",0,"",0,alert_alert-1833982633/8fd3eb76-3af1-48fa-a8b4-3888ebb842d7
58,alertas,HAZARD,"Quinta Normal","Av. San Pablo",0,"",0,alert_alert-1852619277/35be36de-3d26-4f2a-aa6e-e181c584feb1
59,alertas,JAM,"","Autopista Central",0,"",0,alert_alert-1852618958/a4831653-1bba-4a9d-9055-d9185109c70c
60,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1711847925/74e4194b-b0b6-4d50-ba34-075366f4647d
61,alertas,POLICE,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1852430045/2369c4d2-c483-4045-a60d-1b37606538ca
62,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1711573651/bc91cf81-0a4e-4609-9e32-8fca91e2fbaa
63,alertas,CHIT_CHAT,Santiago,Carmen,0,"",0,alert_alert-1852667215/e4feb1c4-9f0a-4a97-be13-9e06711f836c
64,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1711477936/2056e46d-f202-4a75-9593-d793c374f4a2
65,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1712018109/12792146-18c9-4ca9-857e-9daea29a428c
66,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1711078171/ef87a113-eb94-4de9-9176-71cf91ac4019
67,alertas,ACCIDENT,"Lo Prado","Av. San Pablo",0,"",0,alert_alert-1852536797/4cd3fd82-6524-427e-8baf-f1aa80372c8d
68,alertas,POLICE,Santiago,"Nataniel Cox",0,"",0,alert_alert-1852409349/e35841ae-502f-409b-9d35-a4bfa04770ee
69,alertas,HAZARD,Recoleta,Loreto,0,"",0,alert_alert-1852083900/5305a64d-4f64-4ee5-8fcf-bfaedb40105b
70,alertas,POLICE,Santiago,Carmen,0,"",0,alert_alert-1852626475/6f619f0c-d588-470d-9fba-d68103e673e1
71,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1711566443/285eca93-508c-4b01-b2d4-db5a2fc79024
72,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1711931585/cc3e4b7d-d417-4eb4-851a-05db0942d925
73,alertas,CHIT_CHAT,"Lo Prado","Av. San Pablo",0,"",0,alert_alert-1852656290/a7917f9a-d3f9-43ba-b42f-0edb7e71af26
74,alertas,CHIT_CHAT,Santiago,Argomedo,0,"",0,alert_alert-1852607381/f96a1b7e-5d34-4a62-a4dc-d77c95cf2d2e
75,alertas,POLICE,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1852647249/81afa834-ea8d-42d5-8ea2-41df7d128312
76,alertas,HAZARD,Santiago,"Av. Libertador Bernardo O'Higgins",0,"",0,alert_alert-1711312059/ce2ae4a4-9d6c-4d8a-99fd-4b010cdb057a
77,alertas,JAM,"","Autopista Central",0,"",0,alert_alert-1852654136/1bb4a12b-a4fb-4c19-83b0-b3e1fd1980b0
